company_name,quarter,asset_category,balance,position_change
DELAWARE VIP TRUST,2024Q3,Other,76000.0,
DFA INVESTMENT DIMENSIONS GROUP INC,2024Q3,Other,21437.0,
DFA INVESTMENT DIMENSIONS GROUP INC,2024Q3,Other,73516.0,52079.0
DFA INVESTMENT DIMENSIONS GROUP INC,2024Q3,Other,35749.0,-37767.0
DFA INVESTMENT DIMENSIONS GROUP INC,2024Q3,Other,11099.0,-24650.0
Dimensional ETF Trust,2024Q3,Other,82259.0,
Dimensional ETF Trust,2024Q3,Other,20472.0,-61787.0
Dimensional ETF Trust,2024Q3,Other,9867.0,-10605.0
Dimensional ETF Trust,2024Q3,Other,33892.0,24025.0
Direxion Shares ETF Trust,2024Q3,Other,3350.0,
Direxion Shares ETF Trust,2024Q3,Other,1108573.0,1105223.0
ELLSWORTH GROWTH & INCOME FUND LTD,2024Q3,Other,4275000.0,
"EMPOWER FUNDS, INC.",2024Q3,Other,1206000.0,
"EMPOWER FUNDS, INC.",2024Q3,Other,63470.0,
EQ ADVISORS TRUST,2024Q3,Other,324000.0,
EQ ADVISORS TRUST,2024Q3,Other,130000.0,
EQ ADVISORS TRUST,2024Q3,Other,100000.0,
EQ ADVISORS TRUST,2024Q3,Other,12671.0,
EQ ADVISORS TRUST,2024Q3,Other,36615.0,23944.0
EQ ADVISORS TRUST,2024Q3,Other,76030.0,39415.0
EQ ADVISORS TRUST,2024Q3,Other,24367.0,-51663.0
EQ ADVISORS TRUST,2024Q3,Other,113906.0,89539.0
EQ ADVISORS TRUST,2024Q3,Other,12511.0,-101395.0
EQ ADVISORS TRUST,2024Q3,Other,4765.0,-7746.0
EQ ADVISORS TRUST,2024Q3,Other,11562.0,6797.0
EQ ADVISORS TRUST,2024Q3,Other,25752.0,14190.0
ETF Series Solutions,2024Q3,Other,4817.0,
FIDELITY ADVISOR SERIES I,2024Q3,Other,19874000.0,
FIDELITY ADVISOR SERIES II,2024Q3,Other,51247000.0,
FIDELITY ADVISOR SERIES VII,2024Q3,Other,54700.0,
FIDELITY CONCORD STREET TRUST,2024Q3,Other,710814.0,
FIDELITY CONCORD STREET TRUST,2024Q3,Other,227513.0,-483301.0
FIDELITY CONCORD STREET TRUST,2024Q3,Other,171922.0,-55591.0
FIDELITY CONCORD STREET TRUST,2024Q3,Other,35669.0,-136253.0
FIDELITY CONCORD STREET TRUST,2024Q3,Other,52926.0,17257.0
FIDELITY COVINGTON TRUST,2024Q3,Other,99000.0,
FIDELITY COVINGTON TRUST,2024Q3,Other,254176.0,
