company_name,quarter,asset_category,balance,position_change
iSHARES TRUST,2024Q3,Other,3914689.0,3859387.0
iSHARES TRUST,2024Q3,Other,33140.0,-3881549.0
iSHARES TRUST,2024Q3,Other,224365.0,191225.0
iSHARES TRUST,2024Q3,Other,135362.0,-89003.0
iSHARES TRUST,2024Q3,Other,412843.0,277481.0
iSHARES TRUST,2024Q3,Other,19788.0,-393055.0
iSHARES TRUST,2024Q3,Other,52252.0,32464.0
iSHARES TRUST,2024Q3,Other,385806.0,333554.0
iSHARES TRUST,2024Q3,Other,402569.0,16763.0
iSHARES TRUST,2024Q3,Other,1887923.0,1485354.0
iSHARES TRUST,2024Q3,Other,214800.0,-1673123.0
iSHARES TRUST,2024Q3,Other,4718.0,-210082.0
iSHARES TRUST,2024Q3,Other,5806.0,1088.0
iSHARES TRUST,2024Q3,Other,14248.0,8442.0
iSHARES TRUST,2024Q3,Other,10639.0,-3609.0
iSHARES TRUST,2024Q3,Other,4676000.0,
iSHARES TRUST,2024Q3,Other,14075000.0,
iSHARES TRUST,2024Q3,Other,5700000.0,
ADVANCED SERIES TRUST,2024Q4,Other,3791.0,
ADVANCED SERIES TRUST,2024Q4,Other,27513.0,23722.0
ADVANCED SERIES TRUST,2024Q4,Other,55991.0,28478.0
AGF Investments Trust,2024Q4,Other,-145046.0,
AIM GROWTH SERIES (INVESCO GROWTH SERIES),2024Q4,Other,4000000.0,
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q4,Other,60000.0,
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q4,Other,3276.0,
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q4,Other,42159.0,38883.0
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q4,Other,1807.0,-40352.0
ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2024Q4,Other,336000.0,276000.0
ALPS ETF Trust,2024Q4,Other,284975.0,
AMERICAN CENTURY ETF TRUST,2024Q4,Other,83.0,
AMERICAN FUNDS INSURANCE SERIES,2024Q4,Other,418381.0,
AMERICAN FUNDS INSURANCE SERIES,2024Q4,Other,12732.0,-405649.0
AMERICAN FUNDS INSURANCE SERIES,2024Q4,Other,1555078.0,1542346.0
AMERICAN FUNDS INSURANCE SERIES,2024Q4,Other,102210.0,-1452868.0
AQR Funds,2024Q4,Other,-607275.0,
AQR Funds,2024Q4,Other,-914190.0,-306915.0
AQR Funds,2024Q4,Other,-154300.0,759890.0
AQR Funds,2024Q4,Other,-62685.0,91615.0
AQR Funds,2024Q4,Other,-352712.0,-290027.0
AQR Funds,2024Q4,Other,-67308.0,285404.0
AQR Funds,2024Q4,Other,-365628.0,-298320.0
AQR Funds,2024Q4,Other,-8855.0,356773.0
ARTISAN PARTNERS FUNDS INC,2024Q4,Other,2411403.0,
AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024Q4,Shares,772.0,
BANCROFT FUND LTD,2024Q4,Other,3125000.0,
BNY MELLON FUNDS TRUST,2024Q4,Other,8060.0,
BNY MELLON INVESTMENT PORTFOLIOS,2024Q4,Other,54637.0,
BNY MELLON INVESTMENT PORTFOLIOS,2024Q4,Other,508.0,-54129.0
"BNY Mellon Investment Funds IV, Inc.",2024Q4,Other,850000.0,
Blackstone Alternative Investment Funds,2024Q4,Other,29100.0,
Bridge Builder Trust,2024Q4,Other,5931.0,
Bridge Builder Trust,2024Q4,Other,3590.0,-2341.0
Brinker Capital Destinations Trust,2024Q4,Other,1019.0,
CALVERT IMPACT FUND INC,2024Q4,Other,70074.0,
CAPITAL WORLD GROWTH & INCOME FUND,2024Q4,Other,766688.0,
COLLEGE RETIREMENT EQUITIES FUND,2024Q4,Other,62345.0,
COLLEGE RETIREMENT EQUITIES FUND,2024Q4,Other,84747.0,22402.0
COLUMBIA FUNDS SERIES TRUST,2024Q4,Other,117057.0,
DBX ETF TRUST,2024Q4,Other,371.0,
DELAWARE GROUP EQUITY FUNDS V,2024Q4,Other,670000.0,
DELAWARE VIP TRUST,2024Q4,Other,29000.0,
ELLSWORTH GROWTH & INCOME FUND LTD,2024Q4,Other,1900000.0,
"EMPOWER FUNDS, INC.",2024Q4,Other,1716000.0,
"EMPOWER FUNDS, INC.",2024Q4,Other,111402.0,
EQ ADVISORS TRUST,2024Q4,Other,324000.0,
EQ ADVISORS TRUST,2024Q4,Other,130000.0,
EQ ADVISORS TRUST,2024Q4,Other,100000.0,
EQ ADVISORS TRUST,2024Q4,Other,76030.0,
EQ ADVISORS TRUST,2024Q4,Other,10208.0,-65822.0
EQ ADVISORS TRUST,2024Q4,Other,24367.0,14159.0
EQ ADVISORS TRUST,2024Q4,Other,4319.0,-20048.0
EQ ADVISORS TRUST,2024Q4,Other,25574.0,21255.0
EQ ADVISORS TRUST,2024Q4,Other,12511.0,-13063.0
FIDELITY ADVISOR SERIES II,2024Q4,Other,51247000.0,
FIDELITY CONCORD STREET TRUST,2024Q4,Other,759660.0,
FIDELITY CONCORD STREET TRUST,2024Q4,Other,169273.0,-590387.0
FIDELITY CONCORD STREET TRUST,2024Q4,Other,226731.0,57458.0
FIDELITY COVINGTON TRUST,2024Q4,Other,110000.0,
FIDELITY FINANCIAL TRUST,2024Q4,Other,31275000.0,
FIDELITY FINANCIAL TRUST,2024Q4,Other,2078000.0,
FIDELITY INCOME FUND /MA/,2024Q4,Other,1381000.0,
FIDELITY INCOME FUND /MA/,2024Q4,Other,9366000.0,7985000.0
FIDELITY MT VERNON STREET TRUST,2024Q4,Other,360805.0,
FIDELITY MT VERNON STREET TRUST,2024Q4,Other,67029.0,-293776.0
FIDELITY MT VERNON STREET TRUST,2024Q4,Other,133129.0,66100.0
FIDELITY SALEM STREET TRUST,2024Q4,Other,28000.0,
FIDELITY SALEM STREET TRUST,2024Q4,Other,12306000.0,12278000.0
FIDELITY SALEM STREET TRUST,2024Q4,Other,809000.0,
FIDELITY SALEM STREET TRUST,2024Q4,Other,5079000.0,-7227000.0
FIDELITY SALEM STREET TRUST,2024Q4,Other,14000.0,-5065000.0
FIDELITY SALEM STREET TRUST,2024Q4,Other,12739.0,
FIDELITY SCHOOL STREET TRUST,2024Q4,Other,13970000.0,
FIDELITY SELECT PORTFOLIOS,2024Q4,Other,55350.0,
FIDELITY SELECT PORTFOLIOS,2024Q4,Other,418400.0,363050.0
FIDELITY SUMMER STREET TRUST,2024Q4,Other,9986.0,
FIRST TRUST EXCHANGE-TRADED FUND,2024Q4,Other,440585.0,
FIRST TRUST EXCHANGE-TRADED FUND II,2024Q4,Other,7519.0,
FIRSTHAND FUNDS,2024Q4,Other,10000.0,
FIRSTHAND FUNDS,2024Q4,Other,170000.0,160000.0
FRANK FUNDS,2024Q4,Other,20000.0,
Fidelity Central Investment Portfolios LLC,2024Q4,Other,2949000.0,
Fidelity Merrimack Street Trust,2024Q4,Other,7000.0,
Fidelity Merrimack Street Trust,2024Q4,Other,15000.0,8000.0
Fidelity Merrimack Street Trust,2024Q4,Other,3035000.0,3020000.0
Fidelity Multi-Strategy Credit Fund,2024Q4,Other,113000.0,
Fidelity Multi-Strategy Credit Fund,2024Q4,Other,28000.0,
Fidelity Rutland Square Trust II,2024Q4,Other,753000.0,
Fidelity Rutland Square Trust II,2024Q4,Other,4300.0,
Franklin BSP Private Credit Fund,2024Q4,Other,1000000.0,
GABELLI CONVERTIBLE & INCOME SECURITIES FUND INC,2024Q4,Other,2100000.0,
GROWTH FUND OF AMERICA,2024Q4,Other,7158990.0,
Goldman Sachs ETF Trust,2024Q4,Other,2556.0,
Goldman Sachs ETF Trust,2024Q4,Other,654.0,-1902.0
GuideStone Funds,2024Q4,Other,2273000.0,
GuideStone Funds,2024Q4,Other,-34132.0,
GuideStone Funds,2024Q4,Other,737.0,34869.0
HC CAPITAL TRUST,2024Q4,Other,934.0,
HUSSMAN INVESTMENT TRUST,2024Q4,Other,100000.0,
HUSSMAN INVESTMENT TRUST,2024Q4,Other,5000.0,-95000.0
Invesco Exchange-Traded Fund Trust II,2024Q4,Other,56480.0,
Invesco Exchange-Traded Fund Trust II,2024Q4,Other,15578.0,-40902.0
Invesco Exchange-Traded Fund Trust II,2024Q4,Other,12106.0,-3472.0
Investment Managers Series Trust II,2024Q4,Other,5552.0,
J.P. Morgan Exchange-Traded Fund Trust,2024Q4,Other,25831.0,
JNL SERIES TRUST,2024Q4,Other,241750.0,
JNL SERIES TRUST,2024Q4,Other,2728.0,-239022.0
JNL SERIES TRUST,2024Q4,Other,7952.0,5224.0
JNL SERIES TRUST,2024Q4,Other,412000.0,
JNL SERIES TRUST,2024Q4,Other,419757.0,411805.0
JNL SERIES TRUST,2024Q4,Other,13353.0,-406404.0
JNL SERIES TRUST,2024Q4,Other,14039.0,686.0
JOHN HANCOCK INVESTMENT TRUST,2024Q4,Shares,28774.0,
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q4,Shares,189354.0,
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q4,Other,978000.0,
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q4,Other,3436000.0,
JOHN HANCOCK VARIABLE INSURANCE TRUST,2024Q4,Shares,2162.0,-187192.0
JPMorgan Trust I,2024Q4,Other,375000.0,
JPMorgan Trust I,2024Q4,Other,1485000.0,
JPMorgan Trust I,2024Q4,Other,275000.0,-100000.0
JPMorgan Trust I,2024Q4,Other,449000.0,-1036000.0
John Hancock Funds II,2024Q4,Other,8093000.0,
John Hancock Funds II,2024Q4,Shares,298437.0,
John Hancock Funds II,2024Q4,Other,2313000.0,
LEGG MASON PARTNERS INVESTMENT TRUST,2024Q4,Other,964374.0,
LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2024Q4,Other,43726.0,
LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2024Q4,Other,1568.0,-42158.0
LITMAN GREGORY FUNDS TRUST,2024Q4,Other,95000.0,
LITMAN GREGORY FUNDS TRUST,2024Q4,Other,35000.0,
LOOMIS SAYLES FUNDS I,2024Q4,Other,1325000.0,
LOOMIS SAYLES FUNDS I,2024Q4,Other,110000.0,
LOOMIS SAYLES FUNDS I,2024Q4,Other,955000.0,-370000.0
LOOMIS SAYLES FUNDS I,2024Q4,Other,65000.0,-45000.0
LOOMIS SAYLES FUNDS II,2024Q4,Other,175000.0,
LOOMIS SAYLES FUNDS II,2024Q4,Other,20000.0,
LOOMIS SAYLES FUNDS II,2024Q4,Other,2350000.0,2175000.0
LOOMIS SAYLES FUNDS II,2024Q4,Other,1215000.0,1195000.0
M FUND INC,2024Q4,Other,117147.0,
MASSMUTUAL SELECT FUNDS,2024Q4,Shares,50837.0,
MASSMUTUAL SELECT FUNDS,2024Q4,Other,191000.0,
MASSMUTUAL SELECT FUNDS,2024Q4,Other,980000.0,
MASTER INVESTMENT PORTFOLIO,2024Q4,Other,80018.0,
MASTER INVESTMENT PORTFOLIO,2024Q4,Other,6724.0,-73294.0
MORGAN STANLEY PATHWAY FUNDS,2024Q4,Other,38542.0,
MORGAN STANLEY PATHWAY FUNDS,2024Q4,Other,3902.0,-34640.0
MoA Funds Corp,2024Q4,Other,18928.0,
NEUBERGER BERMAN EQUITY FUNDS,2024Q4,Other,666033.0,
NEW COVENANT FUNDS,2024Q4,Shares,248.0,
NEW ECONOMY FUND,2024Q4,Other,1737865.0,
NEW PERSPECTIVE FUND,2024Q4,Other,2255516.0,
NORTHWESTERN MUTUAL SERIES FUND INC,2024Q4,Other,44657.0,
Northern Lights Fund Trust IV,2024Q4,Other,15807.0,
Nuveen S&P 500 Dynamic Overwrite Fund,2024Q4,Other,2647.0,
PACIFIC SELECT FUND,2024Q4,Other,4086.0,
PACIFIC SELECT FUND,2024Q4,Other,5650.0,1564.0
PIMCO Equity Series,2024Q4,Shares,443.0,
PRAXIS MUTUAL FUNDS,2024Q4,Other,19930.0,
PROSHARES TRUST,2024Q4,Other,837.0,
PROSHARES TRUST,2024Q4,Other,14805.0,13968.0
PROSHARES TRUST,2024Q4,Other,4929.0,-9876.0
PRUDENTIAL SERIES FUND,2024Q4,Other,119050.0,
PUTNAM DIVERSIFIED INCOME TRUST,2024Q4,Other,434000.0,
PUTNAM HIGH YIELD FUND,2024Q4,Other,78000.0,
PUTNAM MASTER INTERMEDIATE INCOME TRUST,2024Q4,Other,82000.0,
PUTNAM VARIABLE TRUST,2024Q4,Other,55000.0,
ProFunds,2024Q4,Other,1490.0,
ProFunds,2024Q4,Other,1711.0,221.0
ProFunds,2024Q4,Other,280.0,-1431.0
ProFunds,2024Q4,Other,424.0,144.0
"RBB FUND, INC.",2024Q4,Other,45794.0,
RUSSELL INVESTMENT FUNDS,2024Q4,Other,-45698.0,
RUSSELL INVESTMENT FUNDS,2024Q4,Other,-4944.0,40754.0
RYDEX SERIES FUNDS,2024Q4,Other,47111.0,
RYDEX VARIABLE TRUST,2024Q4,Other,11680.0,
SA FUNDS INVESTMENT TRUST,2024Q4,Other,7157.0,
SCHWAB STRATEGIC TRUST,2024Q4,Other,338266.0,
SCHWAB STRATEGIC TRUST,2024Q4,Other,112173.0,-226093.0
SCHWAB STRATEGIC TRUST,2024Q4,Other,9215.0,-102958.0
SCHWAB STRATEGIC TRUST,2024Q4,Other,797.0,-8418.0
SCHWAB STRATEGIC TRUST,2024Q4,Other,61797.0,61000.0
SCHWAB STRATEGIC TRUST,2024Q4,Other,75508.0,13711.0
SCHWAB STRATEGIC TRUST,2024Q4,Other,109350.0,33842.0
SEASONS SERIES TRUST,2024Q4,Other,4945.0,
SEASONS SERIES TRUST,2024Q4,Other,384000.0,
SEASONS SERIES TRUST,2024Q4,Other,21531.0,16586.0
SEASONS SERIES TRUST,2024Q4,Other,109000.0,
SEI Catholic Values Trust,2024Q4,Shares,341.0,
SEI INSTITUTIONAL INVESTMENTS TRUST,2024Q4,Shares,5000.0,
SEI INSTITUTIONAL INVESTMENTS TRUST,2024Q4,Shares,19923.0,14923.0
SEI INSTITUTIONAL MANAGED TRUST,2024Q4,Shares,2930.0,
SHELTON FUNDS,2024Q4,Other,5129.0,
SMALLCAP WORLD FUND INC,2024Q4,Other,2996775.0,
SPDR INDEX SHARES FUNDS,2024Q4,Other,376.0,
SPDR SERIES TRUST,2024Q4,Other,1090734.0,
SPDR SERIES TRUST,2024Q4,Other,7410000.0,
SPDR SERIES TRUST,2024Q4,Other,27887000.0,
SPDR SERIES TRUST,2024Q4,Other,9512000.0,
SPDR SERIES TRUST,2024Q4,Other,254.0,-1090480.0
SPDR SERIES TRUST,2024Q4,Other,389900.0,389646.0
SPDR SERIES TRUST,2024Q4,Other,19134.0,-370766.0
SPDR SERIES TRUST,2024Q4,Other,12.0,-19122.0
SPDR SERIES TRUST,2024Q4,Other,2730582.0,2730570.0
SPDR SERIES TRUST,2024Q4,Other,314879.0,-2415703.0
STATE STREET INSTITUTIONAL INVESTMENT TRUST,2024Q4,Other,47201.0,
STATE STREET VARIABLE INSURANCE SERIES FUNDS INC,2024Q4,Other,779.0,
"T. Rowe Price Index Trust, Inc.",2024Q4,Other,23972.0,
"T. Rowe Price Index Trust, Inc.",2024Q4,Other,5837.0,-18135.0
"T. Rowe Price International Funds, Inc.",2024Q4,Other,981000.0,
"T. Rowe Price International Funds, Inc.",2024Q4,Other,19595000.0,
"T. Rowe Price Mid-Cap Value Fund, Inc.",2024Q4,Other,4564815.0,
"T. Rowe Price Mid-Cap Value Fund, Inc.",2024Q4,Other,22052000.0,
"T. Rowe Price Mid-Cap Value Fund, Inc.",2024Q4,Other,90212000.0,
THRIVENT SERIES FUND INC,2024Q4,Other,98832.0,
TIAA SEPARATE ACCOUNT VA 1,2024Q4,Other,3166.0,
TIAA-CREF LIFE FUNDS,2024Q4,Other,1949.0,
TIFF INVESTMENT PROGRAM,2024Q4,Other,-61440.0,
TRUST FOR PROFESSIONAL MANAGERS,2024Q4,Other,107574.0,
TRUST FOR PROFESSIONAL MANAGERS,2024Q4,Other,11.0,-107563.0
TRUST FOR PROFESSIONAL MANAGERS,2024Q4,Other,21536.0,21525.0
TRUST FOR PROFESSIONAL MANAGERS,2024Q4,Other,-38754.0,-60290.0
Total Fund Solution,2024Q4,Other,-18748.0,
UNIFIED SERIES TRUST,2024Q4,Other,-24338.0,
UNIFIED SERIES TRUST,2024Q4,Other,3000000.0,
VALIC Co I,2024Q4,Other,131755.0,
VANGUARD ADMIRAL FUNDS,2024Q4,Other,121038.0,
VANGUARD ADMIRAL FUNDS,2024Q4,Other,50609.0,-70429.0
VANGUARD ADMIRAL FUNDS,2024Q4,Other,49874.0,-735.0
VANGUARD HORIZON FUNDS,2024Q4,Other,3131600.0,
VANGUARD INDEX FUNDS,2024Q4,Other,1654406.0,
VANGUARD INDEX FUNDS,2024Q4,Other,1927901.0,273495.0
VANGUARD INDEX FUNDS,2024Q4,Other,3956522.0,2028621.0
VANGUARD INDEX FUNDS,2024Q4,Other,3180316.0,-776206.0
VANGUARD INSTITUTIONAL INDEX FUNDS,2024Q4,Other,72176.0,
VANGUARD QUANTITATIVE FUNDS,2024Q4,Other,61500.0,
VANGUARD SCOTTSDALE FUNDS,2024Q4,Other,53889.0,
VANGUARD SCOTTSDALE FUNDS,2024Q4,Other,8960.0,-44929.0
VANGUARD SCOTTSDALE FUNDS,2024Q4,Other,17983.0,9023.0
VANGUARD TAX-MANAGED FUNDS,2024Q4,Other,905883.0,
VANGUARD VALLEY FORGE FUNDS,2024Q4,Other,81279.0,
VANGUARD WORLD FUND,2024Q4,Other,25929.0,
VANGUARD WORLD FUND,2024Q4,Other,2136759.0,2110830.0
VARIABLE INSURANCE PRODUCTS FUND,2024Q4,Other,3092000.0,
VARIABLE INSURANCE PRODUCTS FUND II,2024Q4,Other,5413.0,
VARIABLE INSURANCE PRODUCTS FUND II,2024Q4,Other,2481.0,-2932.0
VIRTUS ALTERNATIVE SOLUTIONS TRUST,2024Q4,Other,1510.0,
Variable Insurance Products Fund V,2024Q4,Other,5455000.0,
Virtus Investment Trust,2024Q4,Other,23015000.0,
Voya VARIABLE PORTFOLIOS INC,2024Q4,Other,10922.0,
Voya VARIABLE PORTFOLIOS INC,2024Q4,Other,5246.0,-5676.0
WILSHIRE MUTUAL FUNDS INC,2024Q4,Other,659.0,
iSHARES TRUST,2024Q4,Other,66902.0,
iSHARES TRUST,2024Q4,Other,297549.0,230647.0
iSHARES TRUST,2024Q4,Other,87690.0,-209859.0
iSHARES TRUST,2024Q4,Other,55094.0,-32596.0
iSHARES TRUST,2024Q4,Other,392255.0,337161.0
iSHARES TRUST,2024Q4,Other,569841.0,177586.0
iSHARES TRUST,2024Q4,Other,20134.0,-549707.0
iSHARES TRUST,2024Q4,Other,138890.0,118756.0
iSHARES TRUST,2024Q4,Other,188536.0,49646.0
iSHARES TRUST,2024Q4,Other,7999361.0,7810825.0
iSHARES TRUST,2024Q4,Other,32816.0,-7966545.0
iSHARES TRUST,2024Q4,Other,711503.0,678687.0
