doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund,estSharesLoaned
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,,WOLF,120200.0,NS,USD,2735752.0,0.076677498,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AMG Funds I,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,3891.0,NS,USD,73345.35,0.089971548721,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,3645.0
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,USAQ6T1,-180320.0,NS,USD,-4104083.2,-0.21670617955,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,USAQ6T1,-19989.0,NS,USD,-454949.64,-0.10336870037,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,USAQ6T1,-15843.0,NS,USD,-360586.68,-0.01892922034,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852AB8,,AQR15281438,2614000.0,PA,USD,1540953.0,0.080893278915,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,USAQ6T1,-43657.0,NS,USD,-993633.32,-0.35742433457,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,USAQ6T1,-220211.0,NS,USD,-5012002.36,-0.41038774933,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,USAQ6T1,-68279.0,NS,USD,-1554030.04,-0.23118418766,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,ARTISAN PARTNERS FUNDS INC,2024-08-29,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,,1868704.0,NS,USD,42531703.04,0.973785063253,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024-08-26,Wolfspeed Inc.,549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK USD.00125,977852102,,BMBVND9,772.0,NS,USD,17570.72,0.0224516401,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024-08-26,Wolfspeed Inc.,549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK USD.00125,977852102,,BMBVND9,24644.0,NS,USD,560897.44,0.1064942837,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Adviser Managed Trust,2024-09-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK,977852102,,,738.0,NS,USD,13911.3,0.004011051586,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,AdvisorShares Trust,2024-08-20,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,-30000.0,NS,USD,-682800.0,-1.00781029331,Short,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Advisors' Inner Circle Fund III,2024-09-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK,977852102,,,467.0,NS,USD,8802.95,0.00500940371,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,BANCROFT FUND LTD,2024-08-29,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,,BS54RG7,3125000.0,PA,USD,1737500.0,1.643756819165,Long,DBT,,,,,2,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,BLACKROCK FUNDS,2024-09-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,,977852102,2520.0,NS,USD,47502.0,0.002438927341,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,BLACKROCK FUNDS,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,8227.0,NS,USD,155078.95,0.00438241806,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,8227.0
NPORT-P,BLACKROCK FUNDS,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,11917.0,NS,USD,224635.45,0.037470507812,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,BLACKROCK FUNDS,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,22234.0,NS,USD,419110.9,0.020971023571,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,BNY MELLON INVESTMENT PORTFOLIOS,2024-08-21,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,,,520.0,NS,USD,11835.2,0.0076228278152,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,524.0
NPORT-P,"BNY MELLON MIDCAP INDEX FUND, INC.",2024-09-19,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,,,71895.0,NS,USD,1355220.75,0.0834906708426,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,BNY Mellon ETF Trust,2024-09-23,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,7495.0,NS,USD,141280.75,0.119741939708,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,7329.0
NPORT-P,BlackRock ETF Trust,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,34.0,NS,USD,640.9,0.006838770298,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Blackstone Alternative Investment Funds,2024-08-21,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,400.0,NS,USD,9104.0,0.000245688385,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Bridge Builder Trust,2024-08-23,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,,,3590.0,NS,USD,81708.4,0.001037139043,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Bridge Builder Trust,2024-08-23,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,,,5931.0,NS,USD,134989.56,0.000642585572,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Bridge Builder Trust,2024-08-23,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,,,7166.0,NS,USD,163098.16,0.009937169155,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
NPORT-P,Brighthouse Funds Trust II,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,,,46094.0,NS,USD,1049099.44,0.102876676084,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,Y,47044.0
NPORT-P,Brinker Capital Destinations Trust,2024-07-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,,,1019.0,NS,USD,26188.3,0.002933772642,Long,EC,,,,,1,,,,,,,,,,,,,,,,N,N,N,0.0
